id,exam_code,exam_grade_sub_id,batch_num,paper_img,paper_status,error_status
null,181023,1,0,'E1_8788658733000004601.png,E1_8788658733000004602.png',0,
null,180101,1,0,'E1_8788658733000004801.png,E1_8788658733000004802.png',0,
null,180103,1,0,'E1_8788658733000005001.png,E1_8788658733000005002.png',0,
null,181301,1,0,'E1_8788658733000005201.png,E1_8788658733000005202.png',0,
null,181022,1,0,'E1_8788658733000005301.png,E1_8788658733000005302.png',0,
null,181131,1,0,'E1_8788658733000005401.png,E1_8788658733000005402.png',0,
null,181111,1,0,'E1_8788658733000005501.png,E1_8788658733000005502.png',0,
null,181322,1,0,'E1_8788658733000005601.png,E1_8788658733000005602.png',0,
null,181323,1,0,'E1_8788658733000005701.png,E1_8788658733000005702.png',0,
null,181321,1,0,'E1_8788658733000005801.png,E1_8788658733000005802.png',0,
null,181307,1,0,'E1_8788658733000006001.png,E1_8788658733000006002.png',0,
null,181017,1,0,'E1_8788658733000006101.png,E1_8788658733000006102.png',0,
null,181016,1,0,'E1_8788658733000006201.png,E1_8788658733000006202.png',0,
null,181015,1,0,'E1_8788658733000006301.png,E1_8788658733000006302.png',0,
null,181012,1,0,'E1_8788658733000006401.png,E1_8788658733000006402.png',0,
null,181013,1,0,'E1_8788658733000006501.png,E1_8788658733000006502.png',0,
null,181001,1,0,'E1_8788658733000006601.png,E1_8788658733000006602.png',0,
null,181347,1,0,'E1_8788658733000006701.png,E1_8788658733000006702.png',0,
null,181306,1,0,'E1_8788658733000006901.png,E1_8788658733000006902.png',0,
null,181305,1,0,'E1_8788658733000007001.png,E1_8788658733000007002.png',0,
null,181304,1,0,'E1_8788658733000007101.png,E1_8788658733000007102.png',0,
null,181050,1,0,'E1_8788658733000007201.png,E1_8788658733000007202.png',0,
null,181049,1,0,'E1_8788658733000007301.png,E1_8788658733000007302.png',0,
null,181048,1,0,'E1_8788658733000007401.png,E1_8788658733000007402.png',0,
null,181046,1,0,'E1_8788658733000007501.png,E1_8788658733000007502.png',0,
null,181031,1,0,'E1_8788658733000007901.png,E1_8788658733000007902.png',0,
null,181030,1,0,'E1_8788658733000008001.png,E1_8788658733000008002.png',0,
null,181040,1,0,'E1_8788658733000008201.png,E1_8788658733000008202.png',0,
null,181038,1,0,'E1_8788658733000008301.png,E1_8788658733000008302.png',0,
null,181037,1,0,'E1_8788658733000008401.png,E1_8788658733000008402.png',0,
null,181036,1,0,'E1_8788658733000008501.png,E1_8788658733000008502.png',0,
null,181035,1,0,'E1_8788658733000008601.png,E1_8788658733000008602.png',0,
null,181034,1,0,'E1_8788658733000008701.png,E1_8788658733000008702.png',0,
null,181027,1,0,'E1_8788658733000008801.png,E1_8788658733000008802.png',0,
null,181024,1,0,'E1_8788658733000008901.png,E1_8788658733000008902.png',0,
null,181021,1,0,'E1_8788658733000009001.png,E1_8788658733000009002.png',0,
null,180735,1,0,'E1_8788658733000003601.png,E1_8788658733000003602.png',0,1
null,180738,1,0,'E1_8788658733000003701.png,E1_8788658733000003702.png',0,1
null,180927,1,0,'E1_8788658733000003901.png,E1_8788658733000003902.png',0,1
null,180925,1,0,'E1_8788658733000004701.png,E1_8788658733000004702.png',0,1
null,181140,1,0,'E1_8788658733000000401.png,E1_8788658733000000402.png',0,2
null,181134,1,0,'E1_8788658733000001001.png,E1_8788658733000001002.png',0,2
null,181252,1,0,'E1_8788658733000003201.png,E1_8788658733000003202.png',0,2
null,181132,1,0,'E1_8788658733000003501.png,E1_8788658733000003502.png',0,2
null,180924,1,0,'E1_8788658733000003801.png,E1_8788658733000003802.png',0,1,2
null,181329,1,0,'E1_8788658733000004001.png,E1_8788658733000004002.png',0,2
null,180926,1,0,'E1_8788658733000004501.png,E1_8788658733000004502.png',0,1,2
null,180102,1,0,'E1_8788658733000004901.png,E1_8788658733000004902.png',0,2
null,181308,1,0,'E1_8788658733000005901.png,E1_8788658733000005902.png',0,2
null,180736,1,0,'E1_8788658733000006801.png,E1_8788658733000006802.png',0,1,2
null,181028,1,0,'E1_8788658733000007701.png,E1_8788658733000007702.png',0,2
null,181033,1,0,'E1_8788658733000007801.png,E1_8788658733000007802.png',0,2
null,181044,1,0,'E1_8788658733000008101.png,E1_8788658733000008102.png',0,2
null,181020,1,0,'E1_8788658733000009101.png,E1_8788658733000009102.png',0,2
